City,State / Country,Region,Base Single Demand,Base 8 Cut Demand,Base Wing Combo Demand,Wealth,Building Cost,Rent Cost,Demand Variance,Dough Price,Sauce Price,Cheese Price,Wings Price,Dish Pay,Cook Pay,Cashier Pay,Delivery Guy Pay,Manager Pay,General Manager Pay,Pizza Oven Maintenance,Fryer Maintenance,Fridge Maintenance,Robot Maintenance,Tax Rate,Description
Shanghai,China,Asia,2040,1845,1312,90,550000,11000,46,0.19,0.39,0.62,5.85,7.13,8.51,6.32,2.99,11.1,17.4,7.88,14,31.25,32.5,0.25,
Beijing,China,Asia,1960,1760,1240,88,520000,10000,45,0.18,0.38,0.6,5.75,6.9,8.28,6.21,2.88,10.8,16.8,7.75,13.75,30,31.25,0.24,
Shenzhen,China,Asia,1824,1634,1159,87,500000,9500,44,0.18,0.38,0.6,5.75,6.9,8.28,6.21,2.82,10.8,16.8,7.62,13.5,30,31.25,0.24,
Guangzhou,China,Asia,1638,1476,1044,82,450000,9000,42,0.17,0.36,0.58,5.5,6.61,8.05,5.98,2.64,10.5,16.8,7.5,13.12,28.75,30,0.23,
Hangzhou,China,Asia,1611,1451,1024,81,430000,8800,41,0.17,0.35,0.57,5.4,6.44,7.93,5.86,2.64,10.2,16.2,7.38,12.88,28.12,29.38,0.23,
Chengdu,China,Asia,1513,1360,960,80,400000,8500,40,0.16,0.34,0.55,5.3,6.32,7.82,5.75,2.53,9.9,15.6,7.25,12.75,27.5,28.75,0.22,
Lagos,Nigeria,Africa,1828,915,632,25,45000,1200,20,0.09,0.35,0.5,4.5,1.8,3.5,2,1,5,11,3,5,6,24,0.1,"Lagos has a rapidly growing population and a dynamic street food culture that keeps demand steady. Operating costs are low across building space, supplies, and wages, making it a strong early expansion option. Shops that keep prices accessible perform especially well."
New York,NY,North America,1999,834,500,88,320000,8000,42,0.29,0.49,0.89,14,15,18,13,10,33,58,11,18,19,40,0.32,"New York offers exceptional demand due to its dense population and constant flow of visitors. Every expense is high, from rent to wages to the daily cost of maintaining equipment. Success depends on speed, quality, and the ability to stand out in a crowded market."
Hong Kong,Hong Kong,Asia,1100,1000,720,96,360000,9000,50,0.25,0.45,0.7,6.5,7,8,6,2.9,10.5,16,6.8,12,26,28,0.23,Hong Kong's extreme real estate costs make operations expensive while demand stays ultra high.
Singapore,Singapore,Asia,1080,995,710,95,350000,8800,48,0.24,0.44,0.68,6.4,6.9,7.9,5.9,2.85,10.4,15.8,6.7,11.8,26,28,0.24,"Singapore's extreme real estate costs and massive demand make it a high-risk, high-reward location."
Tokyo,Japan,Japan,1050,980,680,88,340000,9000,44,0.22,0.4,0.68,12,11,13,9.5,7,20,30,12,20,32,50,0.22,Tokyo's dense districts create intense demand with extremely high property and rent costs. Wages remain stable but competition is fierce.
Seoul,South Korea,Asia,1020,920,660,92,310000,7600,45,0.2,0.4,0.64,6,6.4,7.6,5.6,2.7,9.5,15,6.5,11.5,25,27,0.22,Seoul's high density and late night dining habits generate constant high volume.
Yokohama,Japan,Japan,1000,930,655,85,320000,8600,44,0.21,0.39,0.67,11.8,10.75,12.8,9.4,6.8,19.5,29.5,11.8,19.5,31.5,49,0.22,Yokohama’s huge commuter population drives heavy lunchtime volume with very high rent and building costs.
Osaka,Japan,Japan,980,915,635,82,300000,8200,42,0.2,0.38,0.65,11.5,10.5,12.5,9,6.5,19,28,11.5,19,30,48,0.21,"Osaka's food culture and urban density guarantee high volume sales, especially for large shared meals."
London,UK,Europe,1150,736,575,88,230000,5200,42,0.72,1.32,2.35,21,12,15,11,6,20,30,11.5,18,20,46,0.3,"London combines immense population density with high incomes, driving constant demand for premium quick service food. Every cost is high, but strong volume and pricing power keep margins viable."
Kawasaki,Japan,Japan,940,880,610,82,295000,7900,41,0.2,0.38,0.64,11.4,10.4,12.4,9.1,6.6,19,28.5,11.4,19,30.5,48,0.21,"Kawasaki benefits from constant movement between Tokyo and Yokohama, increasing high volume evening traffic."
Nagoya,Japan,Japan,920,860,600,80,270000,7500,40,0.19,0.37,0.63,11.25,10.25,12.25,8.75,6.3,18.5,27,11.2,18.5,29,47,0.21,Nagoya's industrial and commercial zones provide consistent demand with moderate wages and high space costs.
San Diego,CA,North America,1130,710,525,85,245000,4500,46,0.31,0.6,1.05,13.5,14.5,17,12,8.75,24,41,13.5,15,18,39,0.26,"San Diego’s coastal tourism and high-income neighborhoods keep demand strong year-round. Operating costs run high, but customer volume compensates."
Seattle,WA,North America,1125,705,520,82,240000,4300,48,0.3,0.59,1.05,13,14,17,12,8.5,24,40,13,15,18,38,0.26,"Seattle’s affluent population and dense urban center drive strong interest in quality food. Ingredient and staffing costs trend high, but customer volume offsets the expense."
Kobe,Japan,Japan,900,840,585,74,250000,7000,38,0.18,0.35,0.61,11,9.75,12,8.4,6.1,18,26,11,18,28,45,0.21,Kobe's coastal city layout supports strong tourism and reliable evening demand.
Kyoto,Japan,Japan,880,820,560,76,250000,7000,38,0.18,0.36,0.62,11,10,12,8.5,6.25,18,26,11,18,28,46,0.21,Kyoto's tourist-heavy districts drive strong demand while real estate costs remain premium.
Saitama,Japan,Japan,870,815,565,72,240000,6600,36,0.18,0.34,0.59,10.6,9.6,11.7,8.2,6,17.8,25.5,10.7,17.4,27.2,44,0.2,Saitama offers lower wages but high demand thanks to dense suburban populations.
Busan,South Korea,Asia,880,800,570,80,250000,6000,37,0.16,0.34,0.55,5.2,5.6,6.7,5,2.2,8.2,12.8,5.8,10,21.8,23,0.19,Busan's mix of tourism and locals keeps group meal demand consistently high.
Taipei,Taiwan,Asia,880,790,560,78,240000,6200,38,0.15,0.32,0.53,5.1,5.4,6.6,4.9,2.1,8,12.5,5.7,10,21.5,22,0.18,Taipei's food culture rewards group orders and reliable service at modest wage levels.
Sapporo,Japan,Japan,860,805,555,70,230000,6500,36,0.17,0.34,0.6,10.5,9.5,11.75,8.25,6,17.5,25,10.8,17.5,27,44,0.2,Sapporo's cold climate increases delivery demand while building costs remain high in key districts.
Kuala Lumpur,Malaysia,Asia,825,770,575,60,170000,3800,33,0.16,0.32,0.5,5,4.6,5.9,4.3,1.8,7.4,11.2,4.9,8.9,19.5,21.5,0.17,KL sees high corporate and tourism traffic supporting strong group order demand.
Melbourne,Australia,Oceania,820,760,580,82,225000,4600,34,0.7,1.3,2.4,21,10,12,9,4,16,25,9.8,13.5,15,47,0.23,"Melbourne’s mix of arts, universities, and business districts creates high daily demand. Costs remain steep but predictable."
Fukuoka,Japan,Japan,835,780,540,68,220000,6200,35,0.16,0.33,0.58,10.25,9.4,11.5,8,5.9,17,24.5,10.6,17,26,43,0.2,Fukuoka's growing tech and shipping sectors boost demand across all meal sizes.
Bangkok,Thailand,Asia,820,760,560,55,160000,3500,32,0.14,0.3,0.48,4.8,4.5,5.8,4.2,1.8,7.2,11,4.8,8.8,19,21,0.16,Bangkok's nonstop nightlife and tourism create huge demand for large group meals.
